Data Envio;Tipo;Obra;Unidade;Data do Contrato;Notificante;Notificado;Endereço;Bairro;Cidade;Estado;CEP;Telefone;Empreendimento;Mensalidade;Vencimento;Multa;Juros;Valor;Correção
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;2827400;25/09/2012;3.419,57;30.434,21;170.978,72;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417331;25/01/2013;956,38;6.567,12;47.818,81;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417332;25/02/2013;956,38;6.072,99;47.818,81;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417333;25/03/2013;956,38;5.626,68;47.818,81;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417334;25/04/2013;956,38;5.132,55;47.818,81;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417335;25/05/2013;956,38;4.654,36;47.818,81;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417336;25/06/2013;956,38;4.160,24;47.818,81;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417337;25/07/2013;956,38;3.682,05;47.818,81;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417338;25/08/2013;956,38;3.187,92;47.818,81;INCC
13/mar;Valores;251;OF I - 1_L14 (N);XXXX;HESA 98 INVESTIMENTOS IMOBILIARIOS LTDA.;J.L.M EMPR. IMOB. LTDA E/OU HEBRON INVEST. E PART. LTDA;AV. DAS AMERICAS, 15015 - SALA 307;Recreio dos Bandeirantes;Rio De Janeiro;RJ;22.790-701;21 9 9999-8122;LINK OFFICE MALL & STAY;417347;25/09/2013;4167,49;11.738,43;47.818,81;INCC
