Data Envio;Tipo;Obra;Unidade;Data do Contrato;Notificante;Notificado;Endereço;Bairro;Cidade;Estado;CEP;Telefone;Empreendimento;Mensalidade;Vencimento;Multa;Juros;Valor;Correção
08/04/2014;Valores;211;2_320;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2919747;25/01/2014;R$ 124,48;R$ 151,45;R$ 6.224,00;
08/04/2014;Valores;211;2_320;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2919749;25/02/2014;R$ 124,48;R$ 87,14;R$ 6.224,00;
08/04/2014;Valores;211;2_320;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2919698;25/03/2014;R$ 126,56;R$ 29,53;R$ 6.327,86;INCC
08/04/2014;Valores;211;2_320;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2919701;25/03/2014;R$ 27,84;R$ 6,50;R$ 1.391,84;INCC
08/04/2014;Valores;211;2_318;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2921936;25/01/2014;R$ 171,80;R$ 209,02;R$ 8.590,00;
08/04/2014;Valores;211;2_318;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2921937;25/02/2014;R$ 171,80;R$ 120,26;R$ 8.590,00;
08/04/2014;Valores;211;2_318;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2921938;25/03/2014;R$ 38,43;R$ 8,97;R$ 1.921,54;INCC
08/04/2014;Valores;211;2_318;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2921932;25/03/2014;R$ 174,67;R$ 40,76;R$ 8.733,34;INCC
08/04/2014;Valores;211;2_309;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2929310;25/01/2014;R$ 145,42;R$ 176,93;R$ 7.271,00;
08/04/2014;Valores;211;2_309;XXXXXXXXXXXXXXXXX;HESA 67 INVESTIMENTOS IMOBILIÁRIOS LTDA;CEAGONDI CONSULTORIA LTDA;RUA: TRAV.ALEXANDRE FERREIRA, 15, SALA 207;CENTRO;RIO BONITO;RJ;28800-000;21 7842-1256 / 21 3326-2957;COND. NEOLINK OFFICE II;2929311;25/02/2014;R$ 145,42;R$ 101,79;R$ 7.271,00;
