Data      de envio;Tipo;Obra;Unidade;Data do Contrato;Notificante;Notificado;Endereço;Bairro;Cidade;Estado;CEP;Telefone;Empreendimento;Mensalidade;Vencimento;Encargos;Valor;Correção
02/jan;Valores;251;Office I Loja AA;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA E/OU J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA ;Est. Campo da Areia, 182;Pechincha;Rio de Janeiro;RJ;22743-310;(21)7867-8614;LINK OFFICE, MALL & STAY;414786;25/09/2012;R$ 6.314,53;R$ 119.142,23;INCC
02/jan;Valores;251;Office I Loja AA;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA E/OU J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA ;Est. Campo da Areia, 182;Pechincha;Rio de Janeiro;RJ;22743-310;(21)7867-8614;LINK OFFICE, MALL & STAY;414770;25/12/2012;R$ 690,14;R$ 30.447,68;INCC
02/jan;Valores;251;Office I Loja A;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;388016;25/09/2012;R$ 12.177,62;R$ 227.438,16;INCC
02/jan;Valores;251;Office I Loja A;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;388000;25/12/2012;R$ 1.195,19;R$ 52.555,54;INCC
02/jan;Valores;251;Office I Loja N;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;417346;25/09/2012;R$ 10.112,21;R$ 190.796,45;INCC
02/jan;Valores;251;Office I Loja N;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;417330;25/12/2012;R$ 992,46;R$ 43.784,91;INCC
02/jan;Valores;251;Office I Loja Z;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;411472;25/09/2012;R$ 6.279,10;R$ 118.473,65;INCC
02/jan;Valores;251;Office I Loja Z;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;411456;25/12/2012;R$ 686,26;R$ 30.276,22;INCC
02/jan;Valores;251;Office I Loja AB;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;412715;25/09/2012;R$ 6.501,94;R$ 122.678,20;INCC
02/jan;Valores;251;Office I Loja AB;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;412699;25/12/2012;R$ 710,63;R$ 31.351,35;INCC
02/jan;Valores;251;Office I Loja AC;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;411504;25/09/2012;R$ 6.623,46;R$ 124.970,80;INCC
02/jan;Valores;251;Office I Loja AC;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;2001280;25/11/2012;R$ 19,29;R$ 590,41;INCC
02/jan;Valores;251;Office I Loja AC;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;411488;25/12/2012;R$ 723,91;R$ 31.936,90;INCC
02/jan;Valores;251;Stay I Loja D;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;423311;25/09/2012;R$ 716,27;R$ 13.514,52;INCC
02/jan;Valores;251;Stay I Loja D;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;423322;25/12/2012;R$ 67,39;R$ 2.973,20;INCC
02/jan;Valores;251;Stay I Loja E;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;387476;25/09/2012;R$ 878,15;R$ 16.568,88;INCC
02/jan;Valores;251;Stay I Loja E;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;387460;25/12/2012;R$ 82,62;R$ 3.645,16;INCC
02/jan;Valores;251;Stay I Loja F;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;387983;25/09/2012;R$ 490,08;R$ 9.246,78;INCC
02/jan;Valores;251;Stay I Loja F;XXXX;HESA 98 INVESTIMENTOS IMOBILIÁRIOS LTDA;J.L.M EMPREENDIMENTOS IMOBILIARIOS LTDA E/OU HEBRON INVESTIMENTOS E PARTICIPAÇOES LTDA;Est. dos Bandeirantes,16066;Vargem Pequena;Rio de Janeiro;RJ;22783-551;(21)9999-8122;LINK OFFICE, MALL & STAY;387967;25/12/2012;R$ 46,11;R$ 2.034,30;INCC
02/jan;Valores;173;2009;XXXX;HESA 32 INVESTIMENTOS IMOBILIÁRIOS LTDA;VERA LUCIA TOURINHO MATOS               ;Eng. Niépce da Silva, 290 - Ap 151D;Portão;Curitiba;PR;80610-280;(41)9235-8327;HELBOR OFFICES CHAMPAGNAT;031A;25/11/2012;R$ 39,65;R$ 1.207,27;INCC
