0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             10112011                                                                                                                                                                                                                                                                                                                                                                                      000001
1014421018876DIR_CREDIT     ENGUIA GEN CE LTDA                      004172213000151CPFL PIRATININGA-CIA PIRATININGA DE F E CAMPINAS MOGI MIRIM KM 2, 1755/JDIM SANTCAMPINAS                                13088900SP3176700001                                                                                                                                          011635655           1003200800000122822096/2005-1604112011000403FORNECIMENTO DE ENERGIA.                                                                                                                                                                                                                        004735629000130              000002
1007421012434COBR_CAUC_COR  AMEPLAN ASSIST MEDICA PLANEJADA         011031202000117VIACAO METROPOLITANA LTDA.              R. GENARO DE CARVALHO 65                SAO PAULO                               04377220SP3183200001000250960000000868  09112011900BRADESCO S/A        2511201100000000012391766CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        063964118000150MAZZAFERRO IND E COM                    VIA ANCHIETA, S/N KM 18,0               SAO BERNADO DO                          09733000SP318330000109468720664-1       09112011038ABC                 2211201100000000019248078CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        063964118000150MAZZAFERRO IND E COM                    VIA ANCHIETA, S/N KM 18,0               SAO BERNADO DO                          09733000SP318330000209468738664-2       09112011038ABC                 0712201100000000019248078CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        063964118000150MAZZAFERRO IND E COM                    VIA ANCHIETA, S/N KM 18,0               SAO BERNADO DO                          09733000SP318330000309468746664-3       09112011038ABC                 2212201100000000019248078CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1048421000354COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     003879760000702ANCORA DISTRIBUIDORA LTDA               AV SENADOR ROBERT KENNEDY 1055          FORTALEZA                               18681030CE3183400001002774948553        09112011900BRADESCO S/A        1611201100000000015113249CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1048421000354COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     013633116000100GREAT BEEF ALIMENTOS LTDA               QD 912 SUL QIF AL 15 S/N LT 15 16 E 17  PALMAS                                  77023472TO3183500001002774868562        09112011900BRADESCO S/A        0812201100000000014399969CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1028421001518COBR_CAUC_COR  GAIA AGRIBUSINESS AGRICOLA LTDA         000043509819187REGINALDO JOSE COELHO                   RUA OLIVIO A RIBEIRO,68                 ITUMBIARA                               75503970GO31836000010274127514435       09112011800UNIBANCO S/A        0505201200000000011500000CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1016421008591COBR_CAUC_BIC  GLOBOAVES SAO PAULO AGROAVICOLA LTD     061270393000148FRIGORIFICO MARBA LTDA                  AV CESAR MAGNANI,971                    S BERNANRDO CAM                         09694000SP318370000103229937070394      07112011038ABC                 1412201100000000010524200CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             006059962000100USINA ITAPAGIPE ACUCAR E ALCOOL LT      AV. JOHN DALTO,301-LOTE 2 - TERREO      CAMPINAS                                13069330SP3187600001011293301209        18102011021CAMPINAS            0512201100000000002206500CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1047421000402COBR_CAUC_BIC  TRANSPORTADORA JOVERNO LTDA             005553456000100USINA OUROESTE ACUCAR E ALCOOL LTD      AV. JOHN DALTO,301-BL B-CJ 11BA16B      CAMPINAS                                13069330SP3187700001011293481207        18102011021CAMPINAS            0512201100000000002895000CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     006247822000158DOVA DIST RACOES E FARELOS LTDA         RUA ANITA GARIBALDI,45                  SAO PAULO                               01018020SP318780000101044148002527      01092011007PAULISTA            1611201100000000002607600CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     006247822000158DOVA DIST RACOES E FARELOS LTDA         RUA ANITA GARIBALDI,45                  SAO PAULO                               01018020SP318780000201058416002593      15092011007PAULISTA            0712201100000000002202000CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     006247822000158DOVA DIST RACOES E FARELOS LTDA         RUA ANITA GARIBALDI,45                  SAO PAULO                               01018020SP318780000301061379002605      16092011007PAULISTA            0612201100000000002502000CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     006247822000158DOVA DIST RACOES E FARELOS LTDA         RUA ANITA GARIBALDI,45                  SAO PAULO                               01018020SP3187800004011096732.720       05102011007PAULISTA            2212201100000000002604000CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP318790000101058408002591      15092011007PAULISTA            2311201100000000001475600CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP318790000201058424002592      15092011007PAULISTA            0112201100000000002101800CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP318790000301061387002604      16092011007PAULISTA            0912201100000000002404980CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP3187900004011082432.689       30092011007PAULISTA            2012201100000000002511000CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1047421000666COBR_CAUC_BIC  SOLARIS TRADING CORRETORA AGRO COMM     011326673000152CROMAIS DISTRIBUIDORA PROD IND LTD      RUA MAESTRO CARDIM,1251                 SAO PAULO                               01323001SP3187900005011098272.728       07102011007PAULISTA            1612201100000000001500400CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA E EXPORTACAO LTDA     004666316000178MARITIMOS PESCADOS LTDA                 RUA MINISTRO SALGADO FILHO,476          RECIFE                                  51130500PE3188000001084924782054 A      01112011010RECIFE              2211201100000000001200000CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
