0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             11072013                                                                                                                                                                                                                                                                                                                                                                                      000001
1010421024410COBR_CAUC_COR  ARARIPE TEXTIL S/A ARTESA               000490926000102JO LEVER CONFECCOES LTDA                RUA FRANCISCO STINGHER,149              JARAGUA DO SUL                          89260010SC4303000001042196453563-C      31052013900BRADESCO S/A        1908201300000000002200624CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1010421024410COBR_CAUC_COR  ARARIPE TEXTIL S/A ARTESA               004685278000109CRISTIANE S DAL FORNO & CIA LTDA        R 25 DE JULHO,2088                      PANAMBI                                 98280000RS4303200001042147913435-B      27032013900BRADESCO S/A        2407201300000000004110699CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1010421024410COBR_CAUC_COR  ARARIPE TEXTIL S/A ARTESA               007410591000114MARCO TEXTIL IND COM ART DO VEST L      R FRANCISCO SCHMITZ,S/N                 LUIZ ALVES                              89115000SC4303100001042196533566-C      31052013900BRADESCO S/A        0909201300000000002404578CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       007387853000177GRANJA SALOME LTDA                      ROD. BR-262  KM 0                       BOM DESPACHO                            35600000MG4299200001001466110040636     10072013900BRADESCO S/A        0708201300000000012600000CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1010421024275COBR_CAUC_COR  COMPANHIA TEXTIL PE DE SERRA            072285547000191KARLACHE IND E COM TEXTIL LTDA          R JOAO CARLOS STEIN N 382,382           JARAGUA DO SUL                          89253350SC4302500001042193194586-A      28052013900BRADESCO S/A        1608201300000000000706360CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1010421024275COBR_CAUC_BIC  COMPANHIA TEXTIL PE DE SERRA            078644424000186LULI IND E COM DE CONFECCOES LTDA       R ENGENHEIRO UDO DEEKE,600-SL 01        BLUMENAU                                89065100SC4302900001042173834468-C      06052013032BLUMENAU            2308201300000000002553046CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1010421024275COBR_CAUC_BIC  COMPANHIA TEXTIL PE DE SERRA            078644424000186LULI IND E COM DE CONFECCOES LTDA       R ENGENHEIRO UDO DEEKE,600-SL 01        BLUMENAU                                89065100SC4302900002042173914468-D      06052013032BLUMENAU            2808201300000000002553046CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1010421024275COBR_CAUC_COR  COMPANHIA TEXTIL PE DE SERRA            004107329000107RIO MALHAS IND TEXTIL LTDA              TV PE FRAGA ,40-SALA 1                  PETROLINA                               56304281PE4302800001042174484474-A      07052013900BRADESCO S/A        2607201300000000002190191CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1010421024275COBR_CAUC_COR  COMPANHIA TEXTIL PE DE SERRA            004107329000107RIO MALHAS IND TEXTIL LTDA              TV PE FRAGA ,40-SALA 1                  PETROLINA                               56304281PE4302800002042174564474-B      07052013900BRADESCO S/A        0508201300000000002190191CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1010421024275COBR_CAUC_COR  COMPANHIA TEXTIL PE DE SERRA            085371136000160UCATEX UNIAO CATARINENSE TEXTIL LT      RUA 1 DE MAIO,330-UNIDADE A             LAURENTINO                              89170000SC4302700001042150204330-C      03042013900BRADESCO S/A        2207201300000000002144306CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1010421024275COBR_CAUC_COR  COMPANHIA TEXTIL PE DE SERRA            085371136000160UCATEX UNIAO CATARINENSE TEXTIL LT      RUA 1 DE MAIO,330-UNIDADE A             LAURENTINO                              89170000SC4302700002042150384330-D      03042013900BRADESCO S/A        0108201300000000002144306CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1010421024275COBR_CAUC_COR  COMPANHIA TEXTIL PE DE SERRA            004340373000162EDROMANIA IND E COM LTDA ME             R EDGAR VON BUETTNER ,865-GALPAO        BRUSQUE                                 88355350SC4302600001042174054469-C      06052013900BRADESCO S/A        0908201300000000001728488CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1028421004126DIR_CREDIT     ENSEL ENGENHARIA SERVICOS ESP LTDA      002983428000127CEMIG TELECOMUNICACOES SA - CEMIGTELECOMR DOS INCONFIDENTES, 1051               BELO HORIZONTE                          30140120MG4303300001                                                                                                                                          012121931           020620100000014514CT-026/10   31012013000403Serviços de engenharia de manutençao para os diversos segmentos compõema rede de telecomunicações da CEMIG, envolvendo a execução de serviços de      engenharia de manutenção preventiva e corretiva leve e pesada.                            024052888000174              000014
1016421023809COBR_CAUC_BIC  IBEMA COMPANHIA BRASILEIRA DE PAPEL     043336056000124IND.COM.GRAF.CONSELHEIRO LTDA           RUA CANTIGA INGENUA,99                  SAO PAULO                               04184065SP429930000104072608179421.1    09072013007PAULISTA            2507201300000000011432481CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       011486192000104LIVIA CARLAS GONCALVES DOS SANTOS-      AV VASCO DA GAMA,101                    SALVADOR                                40230731BA4300800001042187117155-A      16052013013SALVADOR            1207201300000000000074853CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       014200948000103MIDIA FORTE ARTIGO DO VESTUARIO LT      ROD PE 35,8500                          ITAPISSUMA                              53700000PE4302400001042196967225-B      04062013900BRADESCO S/A        3007201300000000000563156CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       014200948000103MIDIA FORTE ARTIGO DO VESTUARIO LT      ROD PE 35,8500                          ITAPISSUMA                              53700000PE4302400002042197007225-C      04062013900BRADESCO S/A        2908201300000000000563156CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       014200948000103MIDIA FORTE ARTIGO DO VESTUARIO LT      ROD PE 35,8500                          ITAPISSUMA                              53700000PE4302400003042197187225-D      04062013900BRADESCO S/A        3009201300000000000563154CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       004917296000837AVIL TEXTIL LTDA                        RUA DO LIVRAMENTO,1                     RECIFE                                  50020570PE4302300001042195727194-B      31052013010RECIFE              2307201300000000000526486CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       004917296000837AVIL TEXTIL LTDA                        RUA DO LIVRAMENTO,1                     RECIFE                                  50020570PE4302300002042195647194-C      31052013010RECIFE              2208201300000000000526486CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       004917296000837AVIL TEXTIL LTDA                        RUA DO LIVRAMENTO,1                     RECIFE                                  50020570PE4302300003042195567194-D      31052013010RECIFE              2309201300000000000526487CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       014178622000119GT TECIDOS E AVIAMENTOS LTDA            PC. CEL PORTO ,145                      CARUARU                                 55006030PE4302200001042197347233-B      04062013900BRADESCO S/A        3007201300000000000301048CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       014178622000119GT TECIDOS E AVIAMENTOS LTDA            PC. CEL PORTO ,145                      CARUARU                                 55006030PE4302200002042197427233-C      04062013900BRADESCO S/A        2908201300000000000301048CC                                                                                                                                                                                                                                                                                                                                                                                                         000024
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       014178622000119GT TECIDOS E AVIAMENTOS LTDA            PC. CEL PORTO ,145                      CARUARU                                 55006030PE4302200003042197517233-D      04062013900BRADESCO S/A        3009201300000000000301048CC                                                                                                                                                                                                                                                                                                                                                                                                         000025
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       013587119000154VERUSSIA CARLA R DE FARIAS ME           AV DR LUIZ ANTONIO,7339                 PARNAMIRIM                              59155001RN4302100001042175117128-B      07052013044NATAL               0508201300000000000334473CC                                                                                                                                                                                                                                                                                                                                                                                                         000026
