0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             07052014                                                                                                                                                                                                                                                                                                                                                                                      000001
1029421011376COBR_CAUC_BIC  VOGES METALURGIA LT-EM REC.JUDICIAL     033284522000626HITACHI AR CONDICIONADO DO BRASIL       AV PAULISTA - CJ 71 - 7(O) ANDAR 854    SAO PAULO                               01310913SP4742600001001265250263813001  06052014007PAULISTA            3006201400000000010389302CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1048421002195COBR_CAUC_COR  SERVIMED COMERCIAL LTDA                 054375647003738DROGAL FARMACEUTICA LTDA                AV DR CASSIO P PADOVANI 1910            PIRACICABA                              13405190SP474270000101934596920820  21  05052014900BRADESCO S/A        0206201400000000011677481CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1048421002195COBR_CAUC_COR  SERVIMED COMERCIAL LTDA                 054375647003738DROGAL FARMACEUTICA LTDA                AV DR CASSIO P PADOVANI 1910            PIRACICABA                              13405190SP474270000201934600920822  21  05052014900BRADESCO S/A        3006201400000000010159908CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1008421001102COBR_CAUC_COR  IRACEMA IND COM CASTANHA CAJU LTDA      004175027000338GLOBALBEV BEBIDAS E ALIMENTOS SA        AV  NOSSA SENHORA DO CARMO, 900         BELO HORIZONTE                          30330000MG4742800001091163810105072623  28042014800UNIBANCO S/A        2706201400000000013084370CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000102802164038788 00B  30042014046FLORIANOPOLIS       0508201400000000005305339CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000202801907038057 00A  30042014046FLORIANOPOLIS       3007201400000000002158059CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000302801915038057 00B  30042014046FLORIANOPOLIS       0508201400000000002158059CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000402801923038057 00C  30042014046FLORIANOPOLIS       1308201400000000002158060CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000502801931038268 00C  29042014046FLORIANOPOLIS       1208201400000000004061929CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000602801974038458 00A  30042014046FLORIANOPOLIS       3007201400000000003122203CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000702801982038458 00B  30042014046FLORIANOPOLIS       0508201400000000003122203CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000802801991038458 00C  30042014046FLORIANOPOLIS       1308201400000000003122202CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480000902802008038607 00A  30042014046FLORIANOPOLIS       3007201400000000005497067CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480001002802016038607 00B  30042014046FLORIANOPOLIS       0508201400000000005497067CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480001102802024038607 00C  30042014046FLORIANOPOLIS       1308201400000000005497068CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1032421030290COBR_CAUC_BIC  PROIMPORT BRASIL S/A                    000374121000101BRASILUX IND COMERCIO IMPORTACAO E      ROD BR 470, KM 67, 2135 GALPAO A - B    INDAIAL                                 89130000SC474480001202802032038641 00A  30042014046FLORIANOPOLIS       3007201400000000002017609CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
