0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             13032012                                                                                                                                                                                                                                                                                                                                                                                      000001
1013421015630DIR_CREDIT     LEMOSPASSOS AL E TERC SERV ADM LTDA     013699404000167SECRETARIA DE ADM. PENIT E RESSOCIALIZA 4ªAVENIDA, S/N - PLATAFORMA 6           SALVADOR                                40301155BA3371900001                                                                                                                                          481024320           150720060000002721020/SDJDH/2003022012000404Prestação de serviços de fornecimento de refeições para Penitenciária  Lemos Brito e a Cadeia Pública, ambas localizadas em Salvador - BA.                                                                                                      013530225000100              000002
1007421006183COBR_CAUC_BIC  NITRIFLEX S/A IND E COMERCIO            087870952000144BORRACHAS VIPAL S/A                     AV.SEVERO DULLIUS,1395                  PORTO ALEGRE                            90200310RS343070000101127305001403501   09032012015PORTO ALEGRE        2303201200000000020303117CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1007420931444COBR_CAUC_BIC  PLASINCO LTDA                           066007857000141WIREX CABLE SA                          ESTR JACAREI STA BRANCA,0-PREDIO A      STA BRANCA                              12325310SP34308000010112720818878-1     08032012007PAULISTA            2903201200000000014216133CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1007420931444COBR_CAUC_BIC  PLASINCO LTDA                           066007857000141WIREX CABLE SA                          ESTR JACAREI STA BRANCA,0-PREDIO A      STA BRANCA                              12325310SP34308000020112728318878-2     08032012007PAULISTA            0504201200000000014216133CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1016421000809COBR_CAUC_BIC  LOGIKA DISTRIBUIDORA COSMETICOS LTD     025769266000124ARCOM S/A                               ANEL VIARIO AYRTON SENNA, 2001          UBERLANDIA                              38414512MG3430900001033481110014192/01  28022012028UBERLANDIA          0705201200000000016228800CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1016421000809COBR_CAUC_BIC  LOGIKA DISTRIBUIDORA COSMETICOS LTD     025769266000124ARCOM S/A                               ANEL VIARIO AYRTON SENNA, 2001          UBERLANDIA                              38414512MG3430900002033481200014193/01  28022012028UBERLANDIA          0705201200000000013397916CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1016421019267COBR_CAUC_BIC  COBRAZEM AGROINDUSTRIAL LTDA            002489004000100GLOBOSUINOS AGROPECUARIA S/A            ROD BR 467, KM 03 ,0-CX POSTAL 227      CASCAVEL                                85802970PR3431000001033483670031262-01  05032012016CURITIBA            0504201200000000020250000CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1016421019267COBR_CAUC_BIC  COBRAZEM AGROINDUSTRIAL LTDA            002489004000100GLOBOSUINOS AGROPECUARIA S/A            ROD BR 467, KM 03 ,0-CX POSTAL 227      CASCAVEL                                85802970PR3431000002033483750031263-01  05032012016CURITIBA            0504201200000000020250000CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1016421019267COBR_CAUC_BIC  COBRAZEM AGROINDUSTRIAL LTDA            002489004000100GLOBOSUINOS AGROPECUARIA S/A            ROD BR 467, KM 03 ,0-CX POSTAL 227      CASCAVEL                                85802970PR3431000003033483830031264-01  05032012016CURITIBA            1704201200000000020250000CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1050421000089COBR_CAUC_COR  ATIVO ALIMENTOS LTDA                    012023966003734BONANZA SUPERMERCADOS LTDA              ROD BR-232 KM137 CAMARAS 03 E 04 S/N 0  CARUARU                                 55034640PE343110000100315264127332/1    10032012800UNIBANCO S/A        1404201200000000015275324CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1046421004183COBR_CAUC_COR  GOLBRASIL INDUSTRIA QUIMICA LTDA        011630976000164SERPAT DISTRIBUIDORA LTDA               RUA GERONCIO THIVES- 550                SAO JOSE                                88117290SC34323000010138025121139/2     01022012900BRADESCO S/A        1403201200000000000157500CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1046421004183COBR_CAUC_COR  GOLBRASIL INDUSTRIA QUIMICA LTDA        011630976000164SERPAT DISTRIBUIDORA LTDA               RUA GERONCIO THIVES- 550                SAO JOSE                                88117290SC34323000020138026921139/3     01022012900BRADESCO S/A        2803201200000000000157781CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
