0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             12022014                                                                                                                                                                                                                                                                                                                                                                                      000001
1028421002921COBR_CAUC_COR  MATABOI ALIMENTOS S/A - EM REC.JUD.     028800001000130SUPER MERCADO REAL DE EDEN LTDA         AVENIDA BRASIL, 20204                   RIO DE JANEIRO                          21515000RJ4642100001005280600037821501  10022014900BRADESCO S/A        1203201400000000016059613CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1022421007800COBR_CAUC_COR  LEAO ENGENHARIA S/A                     009075892000164MGRV ENGENHARIA E CONSTRUCOES LTDA      RUA L 6 433                             BARRETOS                                14787085SP464220000101037454008408/1.1  23122013900BRADESCO S/A        1202201400000000013494600CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1022421007800COBR_CAUC_COR  LEAO ENGENHARIA S/A                     009075892000164MGRV ENGENHARIA E CONSTRUCOES LTDA      RUA L 6 433                             BARRETOS                                14787085SP464220000201037462008409/1.1  23122013900BRADESCO S/A        1202201400000000017463600CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1036421016893COBR_CAUC_COR  TECAL ALUMINIO DA AMAZONIA LTDA         002672357000141FCC DO BRASIL LTDA                      RUA MOGNO                               MANAUS                                  69075170AM4642300001059930930000056942  10022014900BRADESCO S/A        2402201400000000021349900CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1036421016893COBR_CAUC_COR  TECAL ALUMINIO DA AMAZONIA LTDA         004337168000148MOTO HONDA DA AMAZONIA LTDA             RUA JURUA                               MANAUS                                  69075120AM4642400001059930510000056608  29012014900BRADESCO S/A        2802201400000000010871960CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1036421016893COBR_CAUC_COR  TECAL ALUMINIO DA AMAZONIA LTDA         004337168000148MOTO HONDA DA AMAZONIA LTDA             RUA JURUA                               MANAUS                                  69075120AM4642400002059930690000056607  29012014900BRADESCO S/A        2802201400000000010871960CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1036421016893COBR_CAUC_COR  TECAL ALUMINIO DA AMAZONIA LTDA         004337168000148MOTO HONDA DA AMAZONIA LTDA             RUA JURUA                               MANAUS                                  69075120AM4642400003059930770000056584  29012014900BRADESCO S/A        2802201400000000010871960CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1018421005230COBR_CAUC_BIC  CENTROALCOOL S/A                        015606178000239TERRA FORTE AGRONEGOCIO LTDA            VILA HAMBURGESIA                        SAO PAULO                               05319000SP46425000010360474152419/AA    06022014007PAULISTA            1205201400000000026000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1018421005230COBR_CAUC_BIC  CENTROALCOOL S/A                        015606178000239TERRA FORTE AGRONEGOCIO LTDA            VILA HAMBURGESIA                        SAO PAULO                               05319000SP46425000020360475052419/AB    06022014007PAULISTA            0406201400000000026000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1007421067719COBR_CAUC_BIC  NEOLIDER COM.IMP.E EXP.DE ACOS LTDA     007016112000180SUCCESPAR ENGENHARIA LTDA               AV IBIRAPUERA,2332 CJ 111 S/01          SAO PAULO                               04029200SP464260000102657553059918/     11022014007PAULISTA            1803201400000000010810050CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
9000006                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000012
