0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             20082013                                                                                                                                                                                                                                                                                                                                                                                      000001
1047421002243COBR_CAUC_BIC  ARGE LTDA                               001120364000178WG ELETRO S/A                           RUA ARQUEMEDES PEREIRA LIMA, 1000       CUIABµ                                  78060160MT4367700001016418120033289     29042013024CUIABA              2609201300000000002993560CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1050421000089COBR_CAUC_BIC  ATIVO ALIMENTOS EXP E IMP EIRELI        028664456000337SUPERMERCADO CRISTAL LTDA               RUA ANTONIO JOSE BITTENCOURT 429        RIO DE JANEIRO                          26535000RJ436620000100490201207512/1    17082013014RIO DE JANEIRO      0109201300000000024662288CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1018421031649COBR_CAUC_COR  DISTRIBUIDORA BRASILEIRA DE ASFALTO     000237518000143CONSTRUTORA CAIAPO LTDA                 AVE SAO FRANCISCO,271                   GOIANIA                                 74670010GO43663000010000103528603       18062013900BRADESCO S/A        1609201300000000011297148CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1018421031649COBR_CAUC_COR  DISTRIBUIDORA BRASILEIRA DE ASFALTO     000237518000143CONSTRUTORA CAIAPO LTDA                 AVE SAO FRANCISCO,271                   GOIANIA                                 74670010GO43663000020000104328647       19062013900BRADESCO S/A        1709201300000000010037354CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1018421031649COBR_CAUC_COR  DISTRIBUIDORA BRASILEIRA DE ASFALTO     026631473000180ETICA CONSTRUTORA LTDA                  RUA C 238,281                           GOIANIA                                 74290150GO43665000010000129919680       18072013900BRADESCO S/A        1610201300000000011675429CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1018421031649COBR_CAUC_COR  DISTRIBUIDORA BRASILEIRA DE ASFALTO     026631473000180ETICA CONSTRUTORA LTDA                  RUA C 238,281                           GOIANIA                                 74290150GO43665000020000132929782       21072013900BRADESCO S/A        1910201300000000010213633CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1018421031649COBR_CAUC_COR  DISTRIBUIDORA BRASILEIRA DE ASFALTO     026631473000180ETICA CONSTRUTORA LTDA                  RUA C 238,281                           GOIANIA                                 74290150GO43665000030000133729827       22072013900BRADESCO S/A        2010201300000000010193732CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1018421031649COBR_CAUC_COR  DISTRIBUIDORA BRASILEIRA DE ASFALTO     017629974000131CONSORCIO GOIAS/GAE                     RUA 32 ,420-QD A11 LT 24                GOIANIA                                 74805260GO43664000010000141830193       01082013900BRADESCO S/A        3010201300000000014677929CC                                                                                                                                                                                                                                                                                                                                                                                                         000009
1018421031649COBR_CAUC_COR  DISTRIBUIDORA BRASILEIRA DE ASFALTO     017629974000131CONSORCIO GOIAS/GAE                     RUA 32 ,420-QD A11 LT 24                GOIANIA                                 74805260GO43664000020000144230371       06082013900BRADESCO S/A        0411201300000000021933923CC                                                                                                                                                                                                                                                                                                                                                                                                         000010
1018421031649COBR_CAUC_COR  DISTRIBUIDORA BRASILEIRA DE ASFALTO     017629974000131CONSORCIO GOIAS/GAE                     RUA 32 ,420-QD A11 LT 24                GOIANIA                                 74805260GO43664000030000146930468       08082013900BRADESCO S/A        0611201300000000013746720CC                                                                                                                                                                                                                                                                                                                                                                                                         000011
1028421002921COBR_CAUC_COR  MATABOI ALIMENTOS S/A - EM REC.JUD.     065791980000648RODOPA INDUSTRIA E COMERCIO DE ALI      VL SANTA RITA DE CASSIA SN              CASSILANDIA                             79540000MS4366100001004067540001557001  16082013900BRADESCO S/A        2308201300000000011266039CC                                                                                                                                                                                                                                                                                                                                                                                                         000012
1028421002921COBR_CAUC_COR  MATABOI ALIMENTOS S/A - EM REC.JUD.     065791980000648RODOPA INDUSTRIA E COMERCIO DE ALI      VL SANTA RITA DE CASSIA SN              CASSILANDIA                             79540000MS4366100002004068600001558001  17082013900BRADESCO S/A        2408201300000000015283778CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
9000006                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000014
